,Refactoring,Project,CommitID
58,Rename variable,Springframework,ff9c7141c5
59,Rename variable,Springframework,c559ec4dfb
60,Rename variable,Hadoop,84dd6247686c
61,Rename variable,Hadoop,9de13f879af6
62,Rename variable,Hadoop,eb1d3ebe2fb1
63,Rename variable,Hadoop,2e997d818d00
64,Rename variable,Tomcat,4db15071f7
65,Rename variable,Tomcat,f33ee501c3
66,Rename variable,Tomcat,021b1696b3
67,Rename variable,Tomcat,0d51ce7ba8
68,Rename variable,Kafka,f80686b4ac
69,Rename variable,Junit4,a068272d
70,Rename variable,Junit4,a068272d
71,Spit class,Kafka,c5889fcedd
72,Spit class,Kafka,5bc3aa4280
73,Split method,Tomcat,a50d10bbc7
74,Split method,Tomcat,00e7d79d3b
75,Split method,Junit4,b403288c
76,Split package,Junit4,576377b9
77,Replace expected attributed with try catch,Junit4,df016dc0
78,Replace anonymous class with lambda expression,Elasticsearch,a5aae93b652
79,Replace array with list,Tomcat,f650ea788d
80,Replace array with list,Tomcat,f650ea788d
81,Replace array with singleton list,Junit4,17a2f117
82,Replace array with primitive array,Junit4,b052c712
83,Replace collection.sort() with list.sort(),Elasticsearch,850e88c5894
84,Replace collection.sort() with list.sort(),Elasticsearch,850e88c5895
85,Replace constructor with factory method,Tomcat,87e1cbf767
86,Replace customized methods with API,Springframework,d96a63944c
87,Replace duplicated constant field,Elasticsearch,9e5fbf6021a
88,Replace duplicated constant field,Hadoop,a333674785cf
89,Replace duplicated constant field,Kafka,bd25937d2a
90,Replace duplicated method,Springframework,bcf11e8919
91,Replace duplicated method,Tomcat,4b831e21ef
92,Replace duplicated method,Kafka,3b02e97b65
93,Replace duplicated method,Elasticsearch,df8202206a8
94,Replace for loop with foreach,Elasticsearch,850e88c5894
95,Replace for loop with foreach,Elasticsearch,850e88c5895
96,Replace for loop with foreach,Junit4,4c6975f9
97,Replace for loop with foreach,Junit4,4c6975f9
98,Replace for with while,Elasticsearch,cd38c3a28d4
99,Replace for with while,Elasticsearch,cd38c3a28d5
100,Replace  HashMap with linked HashMap,Junit4,c75dcc28
101,Replace if with switch,Springframework,3c5d46166e
102,Replace if with switch,Springframework,cfa3aa001f
103,Replace inheritance with delegation,Springframework,a481c7649f
104,Replace inner class with lambda expression,Elasticsearch,a5aae93b652
105,Replace lambdas with method references,Elasticsearch,f5f0cd25572
106,Replace method with method object,Elasticsearch,2b03368639b
107,Replace method with method object,Junit4,a68b42ca
108,Replace primitive with object,Hadoop,40467519399c
109,Replace traditional loops with enhanced for loops,Tomcat,f40872b054
110,Replace traditional loops with enhanced for loops,Tomcat,f40872b054
111,Replace wrapper object with primitive,Elasticsearch,850e88c5894
112,Replace wrapper object with primitive,Elasticsearch,850e88c5894
113,Replace wrapper object with primitive,Elasticsearch,850e88c5894
114,Replace iteration based retrieval with switch expression,Springframework,bcff7d74cd
115,Replace iteration based retrieval with switch expression,Springframework,bcff7d74cd
116,switch library,Hadoop,6b80b1e60f1a
117,switch library,Kafka,cfe49d1b77
118,switch library,Kafka,fd6c9f16ba
119,switch library,Kafka,f137da04fa
120,switch library,Kafka,f2ebd333e8
